layer,geoid,topic,stratification,period,value
City or town,5514475,FDEWVAR,,2023-2024,10
City or town,5514475,FDEWVAR,Strat_Error,2023-2024,560
City or town,5514475,FDEWVAR,SWD1,2023-2024,2
City or town,5514475,FDEWVAR,SWO1,2023-2024,8
City or town,5514475,FDEWVAR,EL1,2023-2024,2
City or town,5514475,FDEWVAR,ENG3,2023-2024,8
City or town,5514475,FDEWVAR,ECO1,2023-2024,8
City or town,5514475,FDEWVAR,NOT3,2023-2024,2
City or town,5514475,FDEWVAR,FEM3,2023-2024,3
City or town,5514475,FDEWVAR,MAL15,2023-2024,7
City or town,5514475,FDEWVAR,X7T2,2023-2024,2
City or town,5514475,FDEWVAR,X8T2,2023-2024,3
City or town,5514475,FDEWVAR,NOT4,2023-2024,10
City or town,5514475,FDEWVAR,H,2023-2024,2
City or town,5514475,FDEWVAR,W,2023-2024,7
City or town,5514475,FDEWVAR,X1012,2023-2024,4
City or town,5514475,FDEWVAR,X1210,2023-2024,1
City or town,5514475,FDEWVAR,UNK5,2023-2024,1
City or town,5502375,FDEWVAR,,2023-2024,882
City or town,5502375,FDEWVAR,Strat_Error,2023-2024,49392
City or town,5502375,FDEWVAR,SWD1,2023-2024,445
City or town,5502375,FDEWVAR,SWO1,2023-2024,427
City or town,5502375,FDEWVAR,ENG3,2023-2024,803
City or town,5502375,FDEWVAR,ECO1,2023-2024,706
City or town,5502375,FDEWVAR,FEM3,2023-2024,277
City or town,5502375,FDEWVAR,MAL15,2023-2024,605
City or town,5502375,FDEWVAR,X1S2,2023-2024,32
City or town,5502375,FDEWVAR,X2N2,2023-2024,22
City or town,5502375,FDEWVAR,X3R2,2023-2024,14
City or town,5502375,FDEWVAR,X4T2,2023-2024,39
City or town,5502375,FDEWVAR,X5T3,2023-2024,48
City or town,5502375,FDEWVAR,NOT4,2023-2024,882
City or town,5502375,FDEWVAR,H,2023-2024,130
City or town,5502375,FDEWVAR,Q,2023-2024,147
City or town,5502375,FDEWVAR,W,2023-2024,408
City or town,5502375,FDEWVAR,UNK5,2023-2024,41
City or town,5502375,FDEWVAR,EL1,2023-2024,62
City or town,5502375,FDEWVAR,NOT3,2023-2024,176
City or town,5502375,FDEWVAR,X6T3,2023-2024,83
City or town,5502375,FDEWVAR,X7T2,2023-2024,110
City or town,5502375,FDEWVAR,KIN2,2023-2024,32
City or town,5502375,FDEWVAR,A,2023-2024,21
City or town,5502375,FDEWVAR,X8T2,2023-2024,161
City or town,5502375,FDEWVAR,K41,2023-2024,3
City or town,5502375,FDEWVAR,B,2023-2024,131
City or town,5502375,FDEWVAR,X1012,2023-2024,98
City or town,5502375,FDEWVAR,X113,2023-2024,68
City or town,5502375,FDEWVAR,X1210,2023-2024,46
City or town,5502375,FDEWVAR,X9T3,2023-2024,124
City or town,5502375,FDEWVAR,P,2023-2024,4
City or town,5534575,FDEWVAR,,2023-2024,7
City or town,5534575,FDEWVAR,Strat_Error,2023-2024,392
City or town,5534575,FDEWVAR,SWO1,2023-2024,7
City or town,5534575,FDEWVAR,EL1,2023-2024,4
City or town,5534575,FDEWVAR,ENG3,2023-2024,3
City or town,5534575,FDEWVAR,ECO1,2023-2024,1
City or town,5534575,FDEWVAR,NOT3,2023-2024,6
City or town,5534575,FDEWVAR,MAL15,2023-2024,7
City or town,5534575,FDEWVAR,X5T3,2023-2024,1
City or town,5534575,FDEWVAR,X7T2,2023-2024,2
City or town,5534575,FDEWVAR,X8T2,2023-2024,3
City or town,5534575,FDEWVAR,NOT4,2023-2024,7
City or town,5534575,FDEWVAR,W,2023-2024,3
City or town,5534575,FDEWVAR,UNK5,2023-2024,4
City or town,5534575,FDEWVAR,X9T3,2023-2024,1
City or town,5535850,FDEWVAR,,2023-2024,95
City or town,5535850,FDEWVAR,Strat_Error,2023-2024,5320
City or town,5535850,FDEWVAR,SWD1,2023-2024,30
City or town,5535850,FDEWVAR,SWO1,2023-2024,65
City or town,5535850,FDEWVAR,ECO1,2023-2024,31
City or town,5535850,FDEWVAR,NOT3,2023-2024,64
City or town,5535850,FDEWVAR,FEM3,2023-2024,19
City or town,5535850,FDEWVAR,MAL15,2023-2024,76
City or town,5535850,FDEWVAR,X2N2,2023-2024,2
City or town,5535850,FDEWVAR,X3R2,2023-2024,6
City or town,5535850,FDEWVAR,X4T2,2023-2024,2
City or town,5535850,FDEWVAR,KIN2,2023-2024,1
City or town,5535850,FDEWVAR,UNK8,2023-2024,7
City or town,5535850,FDEWVAR,NOT4,2023-2024,95
City or town,5535850,FDEWVAR,B,2023-2024,2
City or town,5535850,FDEWVAR,W,2023-2024,89
City or town,5535850,FDEWVAR,X6T3,2023-2024,20
City or town,5535850,FDEWVAR,X7T2,2023-2024,12
City or town,5535850,FDEWVAR,X8T2,2023-2024,14
City or town,5535850,FDEWVAR,UNK5,2023-2024,3
City or town,5535850,FDEWVAR,X5T3,2023-2024,11
City or town,5535850,FDEWVAR,ENG3,2023-2024,20
City or town,5535850,FDEWVAR,X1012,2023-2024,9
City or town,5535850,FDEWVAR,X113,2023-2024,4
City or town,5535850,FDEWVAR,X1210,2023-2024,3
City or town,5535850,FDEWVAR,X9T3,2023-2024,4
City or town,5535850,FDEWVAR,Q,2023-2024,1
City or town,5538800,FDEWVAR,,2023-2024,341
City or town,5538800,FDEWVAR,Strat_Error,2023-2024,19096
City or town,5538800,FDEWVAR,SWD1,2023-2024,198
City or town,5538800,FDEWVAR,SWO1,2023-2024,143
City or town,5538800,FDEWVAR,EL1,2023-2024,19
City or town,5538800,FDEWVAR,ENG3,2023-2024,272
City or town,5538800,FDEWVAR,ECO1,2023-2024,170
City or town,5538800,FDEWVAR,NOT3,2023-2024,171
City or town,5538800,FDEWVAR,FEM3,2023-2024,45
City or town,5538800,FDEWVAR,MAL15,2023-2024,267
City or town,5538800,FDEWVAR,X2N2,2023-2024,14
City or town,5538800,FDEWVAR,X3R2,2023-2024,49
