layer,geoid,topic,stratification,period,value
State,WI,FVDEWVAR,,2018-2019,73067
State,WI,FVDEWVAR,A,2018-2019,428
State,WI,FVDEWVAR,B,2018-2019,32209
State,WI,FVDEWVAR,ECO1,2018-2019,57058
State,WI,FVDEWVAR,EL1,2018-2019,3309
State,WI,FVDEWVAR,ENG3,2018-2019,69758
State,WI,FVDEWVAR,FEM3,2018-2019,22807
State,WI,FVDEWVAR,H,2018-2019,9933
State,WI,FVDEWVAR,K31,2018-2019,5
State,WI,FVDEWVAR,K41,2018-2019,193
State,WI,FVDEWVAR,KIN2,2018-2019,1391
State,WI,FVDEWVAR,MAL15,2018-2019,50260
State,WI,FVDEWVAR,NOT3,2018-2019,16009
State,WI,FVDEWVAR,P,2018-2019,1305
State,WI,FVDEWVAR,P1,2018-2019,33
State,WI,FVDEWVAR,PK1,2018-2019,2
State,WI,FVDEWVAR,Q,2018-2019,4800
State,WI,FVDEWVAR,SWD1,2018-2019,28020
State,WI,FVDEWVAR,SWO1,2018-2019,45047
State,WI,FVDEWVAR,UNK8,2018-2019,2
State,WI,FVDEWVAR,W,2018-2019,24359
State,WI,FVDEWVAR,X1012,2018-2019,8096
State,WI,FVDEWVAR,X113,2018-2019,5351
State,WI,FVDEWVAR,X1210,2018-2019,3388
State,WI,FVDEWVAR,X1S2,2018-2019,2105
State,WI,FVDEWVAR,X2N2,2018-2019,2555
State,WI,FVDEWVAR,X3R2,2018-2019,3273
State,WI,FVDEWVAR,X4T2,2018-2019,4153
State,WI,FVDEWVAR,X5T3,2018-2019,4804
State,WI,FVDEWVAR,X6T3,2018-2019,8327
State,WI,FVDEWVAR,X7T2,2018-2019,9529
State,WI,FVDEWVAR,X8T2,2018-2019,9435
State,WI,FVDEWVAR,X9T3,2018-2019,10458
Region,fox-valley,FVDEWVAR,,2018-2019,4076
Region,fox-valley,FVDEWVAR,A,2018-2019,22
Region,fox-valley,FVDEWVAR,B,2018-2019,443
Region,fox-valley,FVDEWVAR,ECO1,2018-2019,2924
Region,fox-valley,FVDEWVAR,EL1,2018-2019,147
Region,fox-valley,FVDEWVAR,ENG3,2018-2019,3603
Region,fox-valley,FVDEWVAR,FEM3,2018-2019,1021
Region,fox-valley,FVDEWVAR,H,2018-2019,472
Region,fox-valley,FVDEWVAR,K41,2018-2019,2
Region,fox-valley,FVDEWVAR,KIN2,2018-2019,133
Region,fox-valley,FVDEWVAR,MAL15,2018-2019,3055
Region,fox-valley,FVDEWVAR,NOT3,2018-2019,1152
Region,fox-valley,FVDEWVAR,P,2018-2019,34
Region,fox-valley,FVDEWVAR,Q,2018-2019,300
Region,fox-valley,FVDEWVAR,SWD1,2018-2019,1808
Region,fox-valley,FVDEWVAR,SWO1,2018-2019,2256
Region,fox-valley,FVDEWVAR,UNK4,2018-2019,326
Region,fox-valley,FVDEWVAR,UNK5,2018-2019,302
Region,fox-valley,FVDEWVAR,UNK6,2018-2019,12
Region,fox-valley,FVDEWVAR,W,2018-2019,2503
Region,fox-valley,FVDEWVAR,X1012,2018-2019,474
Region,fox-valley,FVDEWVAR,X113,2018-2019,306
Region,fox-valley,FVDEWVAR,X1210,2018-2019,171
Region,fox-valley,FVDEWVAR,X1S2,2018-2019,184
Region,fox-valley,FVDEWVAR,X2N2,2018-2019,200
Region,fox-valley,FVDEWVAR,X3R2,2018-2019,204
Region,fox-valley,FVDEWVAR,X4T2,2018-2019,218
Region,fox-valley,FVDEWVAR,X5T3,2018-2019,229
Region,fox-valley,FVDEWVAR,X6T3,2018-2019,337
Region,fox-valley,FVDEWVAR,X7T2,2018-2019,518
Region,fox-valley,FVDEWVAR,X8T2,2018-2019,530
Region,fox-valley,FVDEWVAR,X9T3,2018-2019,570
County,55087,FVDEWVAR,,2018-2019,1353
County,55015,FVDEWVAR,,2018-2019,50
County,55139,FVDEWVAR,,2018-2019,2673
County,55087,FVDEWVAR,A,2018-2019,10
County,55139,FVDEWVAR,A,2018-2019,12
County,55087,FVDEWVAR,B,2018-2019,114
County,55139,FVDEWVAR,B,2018-2019,329
County,55087,FVDEWVAR,ECO1,2018-2019,856
County,55015,FVDEWVAR,ECO1,2018-2019,33
County,55139,FVDEWVAR,ECO1,2018-2019,2035
County,55087,FVDEWVAR,EL1,2018-2019,50
County,55015,FVDEWVAR,EL1,2018-2019,13
County,55139,FVDEWVAR,EL1,2018-2019,84
County,55087,FVDEWVAR,ENG3,2018-2019,1215
County,55015,FVDEWVAR,ENG3,2018-2019,30
County,55139,FVDEWVAR,ENG3,2018-2019,2358
County,55087,FVDEWVAR,FEM3,2018-2019,269
County,55015,FVDEWVAR,FEM3,2018-2019,2
County,55139,FVDEWVAR,FEM3,2018-2019,750
County,55087,FVDEWVAR,H,2018-2019,149
County,55015,FVDEWVAR,H,2018-2019,12
County,55139,FVDEWVAR,H,2018-2019,311
County,55087,FVDEWVAR,K41,2018-2019,1
County,55139,FVDEWVAR,K41,2018-2019,1
County,55087,FVDEWVAR,KIN2,2018-2019,33
County,55139,FVDEWVAR,KIN2,2018-2019,100
County,55087,FVDEWVAR,MAL15,2018-2019,1084
County,55015,FVDEWVAR,MAL15,2018-2019,48
County,55139,FVDEWVAR,MAL15,2018-2019,1923
County,55087,FVDEWVAR,NOT3,2018-2019,497
County,55015,FVDEWVAR,NOT3,2018-2019,17
County,55139,FVDEWVAR,NOT3,2018-2019,638
County,55087,FVDEWVAR,P,2018-2019,34
County,55087,FVDEWVAR,Q,2018-2019,103
County,55015,FVDEWVAR,Q,2018-2019,5
County,55139,FVDEWVAR,Q,2018-2019,192
County,55087,FVDEWVAR,SWD1,2018-2019,591
County,55015,FVDEWVAR,SWD1,2018-2019,13
County,55139,FVDEWVAR,SWD1,2018-2019,1204
County,55087,FVDEWVAR,SWO1,2018-2019,758
County,55015,FVDEWVAR,SWO1,2018-2019,29
County,55139,FVDEWVAR,SWO1,2018-2019,1469
County,55087,FVDEWVAR,UNK4,2018-2019,88
County,55015,FVDEWVAR,UNK4,2018-2019,7
County,55139,FVDEWVAR,UNK4,2018-2019,231
County,55087,FVDEWVAR,UNK5,2018-2019,81
County,55015,FVDEWVAR,UNK5,2018-2019,4
County,55139,FVDEWVAR,UNK5,2018-2019,217
County,55087,FVDEWVAR,UNK6,2018-2019,4
County,55015,FVDEWVAR,UNK6,2018-2019,8
County,55087,FVDEWVAR,W,2018-2019,862
County,55015,FVDEWVAR,W,2018-2019,29
County,55139,FVDEWVAR,W,2018-2019,1612
County,55087,FVDEWVAR,X1012,2018-2019,171
County,55015,FVDEWVAR,X1012,2018-2019,9
County,55139,FVDEWVAR,X1012,2018-2019,294
County,55087,FVDEWVAR,X113,2018-2019,117
County,55015,FVDEWVAR,X113,2018-2019,6
County,55139,FVDEWVAR,X113,2018-2019,183
County,55087,FVDEWVAR,X1210,2018-2019,76
County,55015,FVDEWVAR,X1210,2018-2019,3
County,55139,FVDEWVAR,X1210,2018-2019,92
County,55087,FVDEWVAR,X1S2,2018-2019,76
County,55139,FVDEWVAR,X1S2,2018-2019,107
County,55015,FVDEWVAR,X1S2,2018-2019,1
County,55087,FVDEWVAR,X2N2,2018-2019,61
County,55139,FVDEWVAR,X2N2,2018-2019,139
County,55087,FVDEWVAR,X3R2,2018-2019,76
County,55139,FVDEWVAR,X3R2,2018-2019,128
County,55087,FVDEWVAR,X4T2,2018-2019,91
County,55015,FVDEWVAR,X4T2,2018-2019,1
County,55139,FVDEWVAR,X4T2,2018-2019,126
County,55087,FVDEWVAR,X5T3,2018-2019,82
County,55015,FVDEWVAR,X5T3,2018-2019,3
County,55139,FVDEWVAR,X5T3,2018-2019,144
County,55087,FVDEWVAR,X6T3,2018-2019,104
County,55015,FVDEWVAR,X6T3,2018-2019,5
County,55139,FVDEWVAR,X6T3,2018-2019,228
County,55087,FVDEWVAR,X7T2,2018-2019,104
County,55015,FVDEWVAR,X7T2,2018-2019,14
County,55139,FVDEWVAR,X7T2,2018-2019,400
County,55087,FVDEWVAR,X8T2,2018-2019,162
County,55015,FVDEWVAR,X8T2,2018-2019,7
County,55139,FVDEWVAR,X8T2,2018-2019,361
County,55087,FVDEWVAR,X9T3,2018-2019,199
County,55139,FVDEWVAR,X9T3,2018-2019,370
County,55015,FVDEWVAR,X9T3,2018-2019,1
Zip code,53014,FVDEWVAR,,2018-2019,26
Zip code,53014,FVDEWVAR,ECO1,2018-2019,22
Zip code,53014,FVDEWVAR,EL1,2018-2019,12
Zip code,53014,FVDEWVAR,ENG3,2018-2019,14
Zip code,53014,FVDEWVAR,H,2018-2019,11
Zip code,53014,FVDEWVAR,MAL15,2018-2019,26
Zip code,53014,FVDEWVAR,NOT3,2018-2019,4
Zip code,53014,FVDEWVAR,Q,2018-2019,4
Zip code,53014,FVDEWVAR,SWD1,2018-2019,8
