layer,geoid,topic,stratification,period,value
County,55087,FVDEYLCV,,2024-2025,30873
County,55015,FVDEYLCV,,2024-2025,6871
County,55139,FVDEYLCV,,2024-2025,21465
County,55087,FVDEYLCV,A,2024-2025,1970
County,55015,FVDEYLCV,A,2024-2025,301
County,55139,FVDEYLCV,A,2024-2025,1173
County,55087,FVDEYLCV,AUT2,2024-2025,535
County,55015,FVDEYLCV,AUT2,2024-2025,119
County,55139,FVDEYLCV,AUT2,2024-2025,395
County,55087,FVDEYLCV,B,2024-2025,904
County,55015,FVDEYLCV,B,2024-2025,131
County,55139,FVDEYLCV,B,2024-2025,1461
County,55087,FVDEYLCV,ECO1,2024-2025,9529
County,55015,FVDEYLCV,ECO1,2024-2025,2098
County,55139,FVDEYLCV,ECO1,2024-2025,8664
County,55087,FVDEYLCV,EL1,2024-2025,1826
County,55015,FVDEYLCV,EL1,2024-2025,561
County,55139,FVDEYLCV,EL1,2024-2025,1457
County,55087,FVDEYLCV,EMO1,2024-2025,321
County,55015,FVDEYLCV,EMO1,2024-2025,76
County,55139,FVDEYLCV,EMO1,2024-2025,271
County,55087,FVDEYLCV,ENG3,2024-2025,29047
County,55015,FVDEYLCV,ENG3,2024-2025,6310
County,55139,FVDEYLCV,ENG3,2024-2025,20007
County,55087,FVDEYLCV,FEM3,2024-2025,12951
County,55015,FVDEYLCV,FEM3,2024-2025,3237
County,55139,FVDEYLCV,FEM3,2024-2025,8968
County,55087,FVDEYLCV,H,2024-2025,2896
County,55015,FVDEYLCV,H,2024-2025,861
County,55139,FVDEYLCV,H,2024-2025,2095
County,55015,FVDEYLCV,INT7,2024-2025,21
County,55087,FVDEYLCV,INT7,2024-2025,8
County,55139,FVDEYLCV,INT7,2024-2025,79
County,55087,FVDEYLCV,K41,2024-2025,1687
County,55015,FVDEYLCV,K41,2024-2025,164
County,55139,FVDEYLCV,K41,2024-2025,1055
County,55087,FVDEYLCV,KIN2,2024-2025,1797
County,55015,FVDEYLCV,KIN2,2024-2025,563
County,55139,FVDEYLCV,KIN2,2024-2025,1335
County,55087,FVDEYLCV,MAL15,2024-2025,15647
County,55015,FVDEYLCV,MAL15,2024-2025,3609
County,55139,FVDEYLCV,MAL15,2024-2025,10929
County,55087,FVDEYLCV,NON10,2024-2025,10
County,55087,FVDEYLCV,NOT2,2024-2025,25737
County,55015,FVDEYLCV,NOT2,2024-2025,5607
County,55139,FVDEYLCV,NOT2,2024-2025,17855
