layer,geoid,topic,stratification,period,value
State,WI,FVDEWVAR,,2023-2024,84488
State,WI,FVDEWVAR,A,2023-2024,793
State,WI,FVDEWVAR,B,2023-2024,34766
State,WI,FVDEWVAR,ECO1,2023-2024,66610
State,WI,FVDEWVAR,EL1,2023-2024,4915
State,WI,FVDEWVAR,ENG3,2023-2024,79169
State,WI,FVDEWVAR,FEM3,2023-2024,28451
State,WI,FVDEWVAR,H,2023-2024,13642
State,WI,FVDEWVAR,K41,2023-2024,376
State,WI,FVDEWVAR,KIN2,2023-2024,2178
State,WI,FVDEWVAR,MAL15,2023-2024,55625
State,WI,FVDEWVAR,MIG1,2023-2024,21
State,WI,FVDEWVAR,NON10,2023-2024,23
State,WI,FVDEWVAR,NOT3,2023-2024,17486
State,WI,FVDEWVAR,NOT4,2023-2024,84083
State,WI,FVDEWVAR,P,2023-2024,1270
State,WI,FVDEWVAR,P1,2023-2024,59
State,WI,FVDEWVAR,PK1,2023-2024,2
State,WI,FVDEWVAR,Q,2023-2024,7386
State,WI,FVDEWVAR,SWD1,2023-2024,29447
State,WI,FVDEWVAR,SWO1,2023-2024,55041
State,WI,FVDEWVAR,UNK3,2023-2024,392
State,WI,FVDEWVAR,UNK4,2023-2024,404
State,WI,FVDEWVAR,UNK5,2023-2024,393
State,WI,FVDEWVAR,UNK7,2023-2024,389
State,WI,FVDEWVAR,UNK8,2023-2024,384
State,WI,FVDEWVAR,UNK9,2023-2024,384
State,WI,FVDEWVAR,W,2023-2024,26179
State,WI,FVDEWVAR,X1012,2023-2024,9548
State,WI,FVDEWVAR,X113,2023-2024,6135
State,WI,FVDEWVAR,X1210,2023-2024,2940
State,WI,FVDEWVAR,X1S2,2023-2024,2631
State,WI,FVDEWVAR,X2N2,2023-2024,2946
State,WI,FVDEWVAR,X3R2,2023-2024,2942
State,WI,FVDEWVAR,X4T2,2023-2024,3388
State,WI,FVDEWVAR,X5T3,2023-2024,4357
State,WI,FVDEWVAR,X6T3,2023-2024,9686
State,WI,FVDEWVAR,X7T2,2023-2024,11405
State,WI,FVDEWVAR,X8T2,2023-2024,12053
State,WI,FVDEWVAR,X9T3,2023-2024,13517
