layer,geoid,topic,stratification,period,value
Region,fox-valley,FVDEYLCV,,2024-2025,59209
Region,fox-valley,FVDEYLCV,A,2024-2025,3444
Region,fox-valley,FVDEYLCV,AUT2,2024-2025,1049
Region,fox-valley,FVDEYLCV,B,2024-2025,2496
Region,fox-valley,FVDEYLCV,ECO1,2024-2025,20291
Region,fox-valley,FVDEYLCV,EL1,2024-2025,3844
Region,fox-valley,FVDEYLCV,EMO1,2024-2025,668
Region,fox-valley,FVDEYLCV,ENG3,2024-2025,55364
Region,fox-valley,FVDEYLCV,FEM3,2024-2025,25156
Region,fox-valley,FVDEYLCV,H,2024-2025,5852
Region,fox-valley,FVDEYLCV,INT7,2024-2025,108
Region,fox-valley,FVDEYLCV,K41,2024-2025,2906
Region,fox-valley,FVDEYLCV,KIN2,2024-2025,3695
Region,fox-valley,FVDEYLCV,MAL15,2024-2025,30185
Region,fox-valley,FVDEYLCV,NON10,2024-2025,10
Region,fox-valley,FVDEYLCV,NOT2,2024-2025,49199
Region,fox-valley,FVDEYLCV,NOT3,2024-2025,38898
Region,fox-valley,FVDEYLCV,NOT4,2024-2025,58825
Region,fox-valley,FVDEYLCV,OTH52,2024-2025,1753
Region,fox-valley,FVDEYLCV,P,2024-2025,431
Region,fox-valley,FVDEYLCV,P1,2024-2025,64
Region,fox-valley,FVDEYLCV,PK1,2024-2025,292
Region,fox-valley,FVDEYLCV,Q,2024-2025,3499
Region,fox-valley,FVDEYLCV,SIG1,2024-2025,728
Region,fox-valley,FVDEYLCV,SPE2,2024-2025,1805
Region,fox-valley,FVDEYLCV,SPE3,2024-2025,1792
Region,fox-valley,FVDEYLCV,SWD1,2024-2025,9323
Region,fox-valley,FVDEYLCV,SWO1,2024-2025,49199
Region,fox-valley,FVDEYLCV,UNK2,2024-2025,2107
Region,fox-valley,FVDEYLCV,UNK3,2024-2025,20
Region,fox-valley,FVDEYLCV,UNK4,2024-2025,1
Region,fox-valley,FVDEYLCV,UNK6,2024-2025,687
Region,fox-valley,FVDEYLCV,UNK7,2024-2025,3858
Region,fox-valley,FVDEYLCV,UNK9,2024-2025,384
Region,fox-valley,FVDEYLCV,W,2024-2025,43423
Region,fox-valley,FVDEYLCV,X1012,2024-2025,4657
Region,fox-valley,FVDEYLCV,X113,2024-2025,4605
Region,fox-valley,FVDEYLCV,X1210,2024-2025,4897
Region,fox-valley,FVDEYLCV,X1S2,2024-2025,3876
Region,fox-valley,FVDEYLCV,X2N2,2024-2025,4050
Region,fox-valley,FVDEYLCV,X3R2,2024-2025,4188
Region,fox-valley,FVDEYLCV,X4T2,2024-2025,4210
Region,fox-valley,FVDEYLCV,X5T3,2024-2025,4114
Region,fox-valley,FVDEYLCV,X6T3,2024-2025,4253
Region,fox-valley,FVDEYLCV,X7T2,2024-2025,4446
Region,fox-valley,FVDEYLCV,X8T2,2024-2025,4490
Region,fox-valley,FVDEYLCV,X9T3,2024-2025,4530
