layer,geoid,topic,stratification,period,value
City or town,5514475,FVDEYLCV,,2024-2025,1048
City or town,5514475,FVDEYLCV,AUT2,2024-2025,8
City or town,5514475,FVDEYLCV,NOT2,2024-2025,862
City or town,5514475,FVDEYLCV,SIG1,2024-2025,18
City or town,5514475,FVDEYLCV,SPE3,2024-2025,25
City or town,5514475,FVDEYLCV,UNK2,2024-2025,39
City or town,5514475,FVDEYLCV,SWD1,2024-2025,175
City or town,5514475,FVDEYLCV,SWO1,2024-2025,862
City or town,5514475,FVDEYLCV,EL1,2024-2025,109
City or town,5514475,FVDEYLCV,ENG3,2024-2025,939
City or town,5514475,FVDEYLCV,ECO1,2024-2025,387
City or town,5514475,FVDEYLCV,NOT3,2024-2025,661
City or town,5514475,FVDEYLCV,FEM3,2024-2025,504
City or town,5514475,FVDEYLCV,MAL15,2024-2025,533
City or town,5514475,FVDEYLCV,X1S2,2024-2025,50
City or town,5514475,FVDEYLCV,X2N2,2024-2025,74
City or town,5514475,FVDEYLCV,X3R2,2024-2025,88
City or town,5514475,FVDEYLCV,X4T2,2024-2025,72
City or town,5514475,FVDEYLCV,K41,2024-2025,43
City or town,5514475,FVDEYLCV,KIN2,2024-2025,52
City or town,5514475,FVDEYLCV,NOT4,2024-2025,1048
City or town,5514475,FVDEYLCV,B,2024-2025,7
City or town,5514475,FVDEYLCV,H,2024-2025,179
City or town,5514475,FVDEYLCV,Q,2024-2025,36
City or town,5514475,FVDEYLCV,W,2024-2025,825
City or town,5514475,FVDEYLCV,EMO1,2024-2025,32
City or town,5514475,FVDEYLCV,OTH52,2024-2025,32
City or town,5514475,FVDEYLCV,SPE2,2024-2025,22
City or town,5514475,FVDEYLCV,X5T3,2024-2025,61
City or town,5514475,FVDEYLCV,X6T3,2024-2025,69
City or town,5514475,FVDEYLCV,X7T2,2024-2025,85
City or town,5514475,FVDEYLCV,X8T2,2024-2025,67
City or town,5514475,FVDEYLCV,A,2024-2025,1
City or town,5514475,FVDEYLCV,INT7,2024-2025,10
City or town,5514475,FVDEYLCV,X1012,2024-2025,84
City or town,5514475,FVDEYLCV,X113,2024-2025,91
City or town,5514475,FVDEYLCV,X1210,2024-2025,106
City or town,5514475,FVDEYLCV,X9T3,2024-2025,106
City or town,5514475,FVDEYLCV,UNK6,2024-2025,11
City or town,5514475,FVDEYLCV,UNK7,2024-2025,11
City or town,5502375,FVDEYLCV,,2024-2025,16095
City or town,5502375,FVDEYLCV,AUT2,2024-2025,407
City or town,5502375,FVDEYLCV,NOT2,2024-2025,13187
City or town,5502375,FVDEYLCV,OTH52,2024-2025,561
City or town,5502375,FVDEYLCV,SIG1,2024-2025,172
City or town,5502375,FVDEYLCV,SPE3,2024-2025,457
City or town,5502375,FVDEYLCV,UNK2,2024-2025,669
City or town,5502375,FVDEYLCV,SWD1,2024-2025,2675
City or town,5502375,FVDEYLCV,SWO1,2024-2025,13187
City or town,5502375,FVDEYLCV,EL1,2024-2025,1660
City or town,5502375,FVDEYLCV,ENG3,2024-2025,14435
City or town,5502375,FVDEYLCV,ECO1,2024-2025,6302
City or town,5502375,FVDEYLCV,NOT3,2024-2025,9793
City or town,5502375,FVDEYLCV,FEM3,2024-2025,7771
City or town,5502375,FVDEYLCV,MAL15,2024-2025,7971
City or town,5502375,FVDEYLCV,X1S2,2024-2025,1138
City or town,5502375,FVDEYLCV,X2N2,2024-2025,1183
City or town,5502375,FVDEYLCV,X3R2,2024-2025,1231
City or town,5502375,FVDEYLCV,X4T2,2024-2025,1196
City or town,5502375,FVDEYLCV,X5T3,2024-2025,1189
City or town,5502375,FVDEYLCV,KIN2,2024-2025,1128
City or town,5502375,FVDEYLCV,PK1,2024-2025,81
City or town,5502375,FVDEYLCV,NOT4,2024-2025,16095
City or town,5502375,FVDEYLCV,P,2024-2025,91
City or town,5502375,FVDEYLCV,A,2024-2025,1922
City or town,5502375,FVDEYLCV,B,2024-2025,786
City or town,5502375,FVDEYLCV,H,2024-2025,2082
City or town,5502375,FVDEYLCV,Q,2024-2025,1102
City or town,5502375,FVDEYLCV,W,2024-2025,10075
City or town,5502375,FVDEYLCV,X6T3,2024-2025,1203
City or town,5502375,FVDEYLCV,X7T2,2024-2025,1120
City or town,5502375,FVDEYLCV,X8T2,2024-2025,1147
City or town,5502375,FVDEYLCV,EMO1,2024-2025,173
City or town,5502375,FVDEYLCV,SPE2,2024-2025,458
City or town,5502375,FVDEYLCV,P1,2024-2025,37
City or town,5502375,FVDEYLCV,K41,2024-2025,682
City or town,5502375,FVDEYLCV,UNK6,2024-2025,233
City or town,5502375,FVDEYLCV,X1012,2024-2025,1207
City or town,5502375,FVDEYLCV,X113,2024-2025,1181
City or town,5502375,FVDEYLCV,X1210,2024-2025,1306
City or town,5502375,FVDEYLCV,X9T3,2024-2025,1103
City or town,5502375,FVDEYLCV,INT7,2024-2025,11
City or town,5502375,FVDEYLCV,UNK7,2024-2025,353
City or town,5534575,FVDEYLCV,,2024-2025,481
City or town,5534575,FVDEYLCV,NOT2,2024-2025,415
City or town,5534575,FVDEYLCV,SPE3,2024-2025,20
City or town,5534575,FVDEYLCV,UNK2,2024-2025,29
City or town,5534575,FVDEYLCV,SWD1,2024-2025,66
City or town,5534575,FVDEYLCV,SWO1,2024-2025,415
City or town,5534575,FVDEYLCV,EL1,2024-2025,48
City or town,5534575,FVDEYLCV,ENG3,2024-2025,433
City or town,5534575,FVDEYLCV,ECO1,2024-2025,166
City or town,5534575,FVDEYLCV,NOT3,2024-2025,315
City or town,5534575,FVDEYLCV,FEM3,2024-2025,211
City or town,5534575,FVDEYLCV,MAL15,2024-2025,270
City or town,5534575,FVDEYLCV,X1S2,2024-2025,21
City or town,5534575,FVDEYLCV,X2N2,2024-2025,31
City or town,5534575,FVDEYLCV,X3R2,2024-2025,27
City or town,5534575,FVDEYLCV,X4T2,2024-2025,36
City or town,5534575,FVDEYLCV,KIN2,2024-2025,26
City or town,5534575,FVDEYLCV,PK1,2024-2025,36
City or town,5534575,FVDEYLCV,NOT4,2024-2025,481
City or town,5534575,FVDEYLCV,H,2024-2025,84
City or town,5534575,FVDEYLCV,Q,2024-2025,5
City or town,5534575,FVDEYLCV,W,2024-2025,387
City or town,5534575,FVDEYLCV,SPE2,2024-2025,17
City or town,5534575,FVDEYLCV,X5T3,2024-2025,38
City or town,5534575,FVDEYLCV,X6T3,2024-2025,32
City or town,5534575,FVDEYLCV,X7T2,2024-2025,41
