layer,geoid,topic,stratification,period,value
State,WI,FVDEWVAR,,2024-2025,81565
State,WI,FVDEWVAR,A,2024-2025,941
State,WI,FVDEWVAR,B,2024-2025,32894
State,WI,FVDEWVAR,ECO1,2024-2025,64176
State,WI,FVDEWVAR,EL1,2024-2025,5341
State,WI,FVDEWVAR,ENG3,2024-2025,76061
State,WI,FVDEWVAR,FEM3,2024-2025,26811
State,WI,FVDEWVAR,H,2024-2025,13719
State,WI,FVDEWVAR,K41,2024-2025,428
State,WI,FVDEWVAR,KIN2,2024-2025,2401
State,WI,FVDEWVAR,MAL15,2024-2025,54577
State,WI,FVDEWVAR,NON10,2024-2025,14
State,WI,FVDEWVAR,NOT3,2024-2025,17225
State,WI,FVDEWVAR,P,2024-2025,1183
State,WI,FVDEWVAR,P1,2024-2025,58
State,WI,FVDEWVAR,PK1,2024-2025,8
State,WI,FVDEWVAR,Q,2024-2025,7614
State,WI,FVDEWVAR,SWD1,2024-2025,28709
State,WI,FVDEWVAR,SWO1,2024-2025,52856
State,WI,FVDEWVAR,UNK3,2024-2025,164
State,WI,FVDEWVAR,UNK4,2024-2025,163
State,WI,FVDEWVAR,UNK5,2024-2025,163
State,WI,FVDEWVAR,UNK7,2024-2025,163
State,WI,FVDEWVAR,UNK8,2024-2025,162
State,WI,FVDEWVAR,W,2024-2025,24993
State,WI,FVDEWVAR,X1012,2024-2025,9090
State,WI,FVDEWVAR,X113,2024-2025,6029
State,WI,FVDEWVAR,X1210,2024-2025,3167
State,WI,FVDEWVAR,X1S2,2024-2025,2986
State,WI,FVDEWVAR,X2N2,2024-2025,3213
State,WI,FVDEWVAR,X3R2,2024-2025,3407
State,WI,FVDEWVAR,X4T2,2024-2025,3686
State,WI,FVDEWVAR,X5T3,2024-2025,4468
State,WI,FVDEWVAR,X6T3,2024-2025,9176
State,WI,FVDEWVAR,X7T2,2024-2025,10760
State,WI,FVDEWVAR,X8T2,2024-2025,10601
State,WI,FVDEWVAR,X9T3,2024-2025,11983
Region,fox-valley,FVDEWVAR,,2024-2025,4131
Region,fox-valley,FVDEWVAR,A,2024-2025,37
Region,fox-valley,FVDEWVAR,B,2024-2025,665
Region,fox-valley,FVDEWVAR,ECO1,2024-2025,2963
Region,fox-valley,FVDEWVAR,EL1,2024-2025,212
Region,fox-valley,FVDEWVAR,ENG3,2024-2025,3717
Region,fox-valley,FVDEWVAR,FEM3,2024-2025,989
Region,fox-valley,FVDEWVAR,H,2024-2025,474
Region,fox-valley,FVDEWVAR,K41,2024-2025,5
Region,fox-valley,FVDEWVAR,KIN2,2024-2025,222
Region,fox-valley,FVDEWVAR,MAL15,2024-2025,2902
Region,fox-valley,FVDEWVAR,NOT3,2024-2025,1167
Region,fox-valley,FVDEWVAR,P,2024-2025,24
Region,fox-valley,FVDEWVAR,Q,2024-2025,611
