layer,geoid,topic,stratification,period,value
City or town,5502375,FVDEYLCV,,2025-2026,15694
City or town,5502375,FVDEYLCV,A,2025-2026,1805
City or town,5502375,FVDEYLCV,B,2025-2026,843
City or town,5502375,FVDEYLCV,ECO1,2025-2026,6034
City or town,5502375,FVDEYLCV,EL1,2025-2026,1570
City or town,5502375,FVDEYLCV,ENG3,2025-2026,14124
City or town,5502375,FVDEYLCV,Error,2025-2026,31187
City or town,5502375,FVDEYLCV,FEM3,2025-2026,7610
City or town,5502375,FVDEYLCV,H,2025-2026,2100
City or town,5502375,FVDEYLCV,K41,2025-2026,794
City or town,5502375,FVDEYLCV,KIN2,2025-2026,976
City or town,5502375,FVDEYLCV,MAL15,2025-2026,7741
City or town,5502375,FVDEYLCV,NOT3,2025-2026,9628
City or town,5502375,FVDEYLCV,P,2025-2026,76
City or town,5502375,FVDEYLCV,P1,2025-2026,45
City or town,5502375,FVDEYLCV,PK1,2025-2026,98
City or town,5502375,FVDEYLCV,Q,2025-2026,1161
City or town,5502375,FVDEYLCV,SWD1,2025-2026,2588
City or town,5502375,FVDEYLCV,SWO1,2025-2026,12904
City or town,5502375,FVDEYLCV,UNK3,2025-2026,32
City or town,5502375,FVDEYLCV,UNK6,2025-2026,202
City or town,5502375,FVDEYLCV,UNK7,2025-2026,343
City or town,5502375,FVDEYLCV,W,2025-2026,9664
City or town,5502375,FVDEYLCV,X1012,2025-2026,1120
City or town,5502375,FVDEYLCV,X113,2025-2026,1225
City or town,5502375,FVDEYLCV,X1210,2025-2026,1236
City or town,5502375,FVDEYLCV,X1S2,2025-2026,1075
City or town,5502375,FVDEYLCV,X2N2,2025-2026,1111
City or town,5502375,FVDEYLCV,X3R2,2025-2026,1148
City or town,5502375,FVDEYLCV,X4T2,2025-2026,1187
City or town,5502375,FVDEYLCV,X5T3,2025-2026,1120
City or town,5502375,FVDEYLCV,X6T3,2025-2026,1202
City or town,5502375,FVDEYLCV,X7T2,2025-2026,1102
City or town,5502375,FVDEYLCV,X8T2,2025-2026,1143
City or town,5502375,FVDEYLCV,X9T3,2025-2026,1157
City or town,5507725,FVDEYLCV,,2025-2026,315
City or town,5507725,FVDEYLCV,A,2025-2026,9
City or town,5507725,FVDEYLCV,B,2025-2026,2
City or town,5507725,FVDEYLCV,ECO1,2025-2026,99
City or town,5507725,FVDEYLCV,EL1,2025-2026,5
City or town,5507725,FVDEYLCV,ENG3,2025-2026,310
City or town,5507725,FVDEYLCV,Error,2025-2026,630
City or town,5507725,FVDEYLCV,FEM3,2025-2026,157
City or town,5507725,FVDEYLCV,H,2025-2026,11
City or town,5507725,FVDEYLCV,K41,2025-2026,22
City or town,5507725,FVDEYLCV,KIN2,2025-2026,26
City or town,5507725,FVDEYLCV,MAL15,2025-2026,158
City or town,5507725,FVDEYLCV,NOT3,2025-2026,216
City or town,5507725,FVDEYLCV,P,2025-2026,1
City or town,5507725,FVDEYLCV,PK1,2025-2026,2
City or town,5507725,FVDEYLCV,Q,2025-2026,7
City or town,5507725,FVDEYLCV,SWD1,2025-2026,49
City or town,5507725,FVDEYLCV,SWO1,2025-2026,266
City or town,5507725,FVDEYLCV,W,2025-2026,285
City or town,5507725,FVDEYLCV,X1S2,2025-2026,30
City or town,5507725,FVDEYLCV,X2N2,2025-2026,34
City or town,5507725,FVDEYLCV,X3R2,2025-2026,27
City or town,5507725,FVDEYLCV,X4T2,2025-2026,32
City or town,5507725,FVDEYLCV,X5T3,2025-2026,35
City or town,5507725,FVDEYLCV,X6T3,2025-2026,34
City or town,5507725,FVDEYLCV,X7T2,2025-2026,34
City or town,5507725,FVDEYLCV,X8T2,2025-2026,39
City or town,5509725,FVDEYLCV,,2025-2026,946
City or town,5509725,FVDEYLCV,A,2025-2026,8
City or town,5509725,FVDEYLCV,B,2025-2026,8
City or town,5509725,FVDEYLCV,ECO1,2025-2026,292
City or town,5509725,FVDEYLCV,EL1,2025-2026,54
City or town,5509725,FVDEYLCV,ENG3,2025-2026,892
City or town,5509725,FVDEYLCV,Error,2025-2026,1890
City or town,5509725,FVDEYLCV,FEM3,2025-2026,442
City or town,5509725,FVDEYLCV,H,2025-2026,123
City or town,5509725,FVDEYLCV,K41,2025-2026,47
City or town,5509725,FVDEYLCV,KIN2,2025-2026,51
City or town,5509725,FVDEYLCV,MAL15,2025-2026,503
City or town,5509725,FVDEYLCV,NOT3,2025-2026,653
City or town,5509725,FVDEYLCV,P,2025-2026,4
City or town,5509725,FVDEYLCV,PK1,2025-2026,4
City or town,5509725,FVDEYLCV,Q,2025-2026,37
City or town,5509725,FVDEYLCV,SWD1,2025-2026,115
City or town,5509725,FVDEYLCV,SWO1,2025-2026,830
City or town,5509725,FVDEYLCV,UNK3,2025-2026,1
City or town,5509725,FVDEYLCV,UNK6,2025-2026,1
City or town,5509725,FVDEYLCV,UNK7,2025-2026,1
City or town,5509725,FVDEYLCV,W,2025-2026,766
City or town,5509725,FVDEYLCV,X1012,2025-2026,92
City or town,5509725,FVDEYLCV,X113,2025-2026,71
City or town,5509725,FVDEYLCV,X1210,2025-2026,81
City or town,5509725,FVDEYLCV,X1S2,2025-2026,60
City or town,5509725,FVDEYLCV,X2N2,2025-2026,51
City or town,5509725,FVDEYLCV,X3R2,2025-2026,56
City or town,5509725,FVDEYLCV,X4T2,2025-2026,69
City or town,5509725,FVDEYLCV,X5T3,2025-2026,64
City or town,5509725,FVDEYLCV,X6T3,2025-2026,76
City or town,5509725,FVDEYLCV,X7T2,2025-2026,71
City or town,5509725,FVDEYLCV,X8T2,2025-2026,83
City or town,5509725,FVDEYLCV,X9T3,2025-2026,70
City or town,5514475,FVDEYLCV,,2025-2026,1038
City or town,5514475,FVDEYLCV,A,2025-2026,1
City or town,5514475,FVDEYLCV,B,2025-2026,9
City or town,5514475,FVDEYLCV,ECO1,2025-2026,380
City or town,5514475,FVDEYLCV,EL1,2025-2026,104
City or town,5514475,FVDEYLCV,ENG3,2025-2026,934
City or town,5514475,FVDEYLCV,Error,2025-2026,2067
City or town,5514475,FVDEYLCV,FEM3,2025-2026,489
City or town,5514475,FVDEYLCV,H,2025-2026,185
City or town,5514475,FVDEYLCV,K41,2025-2026,55
City or town,5514475,FVDEYLCV,KIN2,2025-2026,56
City or town,5514475,FVDEYLCV,MAL15,2025-2026,540
City or town,5514475,FVDEYLCV,NOT3,2025-2026,649
City or town,5514475,FVDEYLCV,PK1,2025-2026,4
City or town,5514475,FVDEYLCV,Q,2025-2026,32
City or town,5514475,FVDEYLCV,SWD1,2025-2026,178
City or town,5514475,FVDEYLCV,SWO1,2025-2026,851
City or town,5514475,FVDEYLCV,UNK3,2025-2026,9
City or town,5514475,FVDEYLCV,UNK6,2025-2026,9
City or town,5514475,FVDEYLCV,UNK7,2025-2026,9
City or town,5514475,FVDEYLCV,W,2025-2026,811
City or town,5514475,FVDEYLCV,X1012,2025-2026,101
City or town,5514475,FVDEYLCV,X113,2025-2026,87
City or town,5514475,FVDEYLCV,X1210,2025-2026,91
City or town,5514475,FVDEYLCV,X1S2,2025-2026,54
City or town,5514475,FVDEYLCV,X2N2,2025-2026,55
City or town,5514475,FVDEYLCV,X3R2,2025-2026,78
City or town,5514475,FVDEYLCV,X4T2,2025-2026,88
City or town,5514475,FVDEYLCV,X5T3,2025-2026,71
