layer,geoid,topic,stratification,period,value
City or town,5502375,FVDEHAAP,,2024-2025,100
City or town,5502375,FVDEHAAP,A,2024-2025,6
City or town,5502375,FVDEHAAP,ECO1,2024-2025,28
City or town,5502375,FVDEHAAP,EL1,2024-2025,3
City or town,5502375,FVDEHAAP,ENG3,2024-2025,50
City or town,5502375,FVDEHAAP,FEM3,2024-2025,51
City or town,5502375,FVDEHAAP,H,2024-2025,4
City or town,5502375,FVDEHAAP,MAL15,2024-2025,49
City or town,5502375,FVDEHAAP,NOT3,2024-2025,55
City or town,5502375,FVDEHAAP,Q,2024-2025,2
City or town,5502375,FVDEHAAP,SWD1,2024-2025,9
City or town,5502375,FVDEHAAP,SWO1,2024-2025,71
City or town,5502375,FVDEHAAP,UNK5,2024-2025,13
City or town,5502375,FVDEHAAP,W,2024-2025,69
City or town,5507725,FVDEHAAP,,2024-2025,100
City or town,5507725,FVDEHAAP,ECO1,2024-2025,45
City or town,5507725,FVDEHAAP,FEM3,2024-2025,45
City or town,5507725,FVDEHAAP,MAL15,2024-2025,55
City or town,5507725,FVDEHAAP,NOT3,2024-2025,55
City or town,5507725,FVDEHAAP,SWD1,2024-2025,9
City or town,5507725,FVDEHAAP,SWO1,2024-2025,91
City or town,5509725,FVDEHAAP,,2024-2025,100
City or town,5509725,FVDEHAAP,ECO1,2024-2025,19
City or town,5509725,FVDEHAAP,FEM3,2024-2025,40
City or town,5509725,FVDEHAAP,MAL15,2024-2025,60
City or town,5509725,FVDEHAAP,NOT3,2024-2025,81
City or town,5509725,FVDEHAAP,SWD1,2024-2025,7
City or town,5509725,FVDEHAAP,SWO1,2024-2025,93
City or town,5509725,FVDEHAAP,UNK5,2024-2025,12
City or town,5509725,FVDEHAAP,W,2024-2025,88
City or town,5514475,FVDEHAAP,,2024-2025,100
City or town,5514475,FVDEHAAP,ECO1,2024-2025,29
City or town,5514475,FVDEHAAP,EL1,2024-2025,5
City or town,5514475,FVDEHAAP,ENG3,2024-2025,95
City or town,5514475,FVDEHAAP,FEM3,2024-2025,47
City or town,5514475,FVDEHAAP,MAL15,2024-2025,53
City or town,5514475,FVDEHAAP,NOT3,2024-2025,71
City or town,5514475,FVDEHAAP,SWD1,2024-2025,8
City or town,5514475,FVDEHAAP,SWO1,2024-2025,92
City or town,5514475,FVDEHAAP,UNK5,2024-2025,8
City or town,5514475,FVDEHAAP,W,2024-2025,92
City or town,5516500,FVDEHAAP,,2024-2025,100
City or town,5516500,FVDEHAAP,ECO1,2024-2025,22
City or town,5516500,FVDEHAAP,FEM3,2024-2025,58
City or town,5516500,FVDEHAAP,MAL15,2024-2025,42
City or town,5516500,FVDEHAAP,NOT3,2024-2025,78
City or town,5516500,FVDEHAAP,SWD1,2024-2025,9
City or town,5516500,FVDEHAAP,SWO1,2024-2025,91
City or town,5516500,FVDEHAAP,UNK5,2024-2025,16
City or town,5516500,FVDEHAAP,W,2024-2025,84
City or town,5534575,FVDEHAAP,,2024-2025,100
City or town,5534575,FVDEHAAP,ECO1,2024-2025,29
