layer,geoid,topic,stratification,period,value
State,WI,FVDEHAAP,,2024-2025,100
State,WI,FVDEHAAP,A,2024-2025,4
State,WI,FVDEHAAP,B,2024-2025,3
State,WI,FVDEHAAP,ECO1,2024-2025,29
State,WI,FVDEHAAP,EL1,2024-2025,4
State,WI,FVDEHAAP,ENG3,2024-2025,96
State,WI,FVDEHAAP,FEM3,2024-2025,52
State,WI,FVDEHAAP,H,2024-2025,9
State,WI,FVDEHAAP,MAL15,2024-2025,48
State,WI,FVDEHAAP,NON10,2024-2025,0
State,WI,FVDEHAAP,NOT3,2024-2025,71
State,WI,FVDEHAAP,P,2024-2025,1
State,WI,FVDEHAAP,P1,2024-2025,0
State,WI,FVDEHAAP,Q,2024-2025,6
State,WI,FVDEHAAP,SWD1,2024-2025,8
State,WI,FVDEHAAP,SWO1,2024-2025,92
State,WI,FVDEHAAP,UNK3,2024-2025,0
State,WI,FVDEHAAP,UNK4,2024-2025,0
State,WI,FVDEHAAP,UNK5,2024-2025,0
State,WI,FVDEHAAP,UNK6,2024-2025,0
State,WI,FVDEHAAP,UNK7,2024-2025,0
State,WI,FVDEHAAP,W,2024-2025,77
