layer,geoid,topic,stratification,period,value
Region,fox-valley,FVDEWVAR,,2023-2024,4164
Region,fox-valley,FVDEWVAR,A,2023-2024,54
Region,fox-valley,FVDEWVAR,B,2023-2024,530
Region,fox-valley,FVDEWVAR,ECO1,2023-2024,3038
Region,fox-valley,FVDEWVAR,EL1,2023-2024,185
Region,fox-valley,FVDEWVAR,ENG3,2023-2024,3551
Region,fox-valley,FVDEWVAR,FEM3,2023-2024,1203
Region,fox-valley,FVDEWVAR,H,2023-2024,496
Region,fox-valley,FVDEWVAR,K41,2023-2024,8
Region,fox-valley,FVDEWVAR,KIN2,2023-2024,160
Region,fox-valley,FVDEWVAR,MAL15,2023-2024,2770
Region,fox-valley,FVDEWVAR,NOT3,2023-2024,1125
Region,fox-valley,FVDEWVAR,NOT4,2023-2024,4164
Region,fox-valley,FVDEWVAR,P,2023-2024,29
Region,fox-valley,FVDEWVAR,Q,2023-2024,560
Region,fox-valley,FVDEWVAR,SWD1,2023-2024,1864
Region,fox-valley,FVDEWVAR,SWO1,2023-2024,2290
Region,fox-valley,FVDEWVAR,UNK3,2023-2024,1
Region,fox-valley,FVDEWVAR,UNK4,2023-2024,428
Region,fox-valley,FVDEWVAR,UNK5,2023-2024,193
Region,fox-valley,FVDEWVAR,UNK6,2023-2024,10
Region,fox-valley,FVDEWVAR,UNK7,2023-2024,191
Region,fox-valley,FVDEWVAR,UNK8,2023-2024,12
Region,fox-valley,FVDEWVAR,W,2023-2024,2302
Region,fox-valley,FVDEWVAR,X1012,2023-2024,437
Region,fox-valley,FVDEWVAR,X113,2023-2024,312
Region,fox-valley,FVDEWVAR,X1210,2023-2024,168
Region,fox-valley,FVDEWVAR,X1S2,2023-2024,212
Region,fox-valley,FVDEWVAR,X2N2,2023-2024,174
Region,fox-valley,FVDEWVAR,X3R2,2023-2024,166
Region,fox-valley,FVDEWVAR,X4T2,2023-2024,192
Region,fox-valley,FVDEWVAR,X5T3,2023-2024,255
Region,fox-valley,FVDEWVAR,X6T3,2023-2024,408
Region,fox-valley,FVDEWVAR,X7T2,2023-2024,543
Region,fox-valley,FVDEWVAR,X8T2,2023-2024,632
Region,fox-valley,FVDEWVAR,X9T3,2023-2024,485
