layer,geoid,topic,stratification,period,value
Zip code,53014,FVDEYLCV,,2024-2025,1048
Zip code,53014,FVDEYLCV,A,2024-2025,1
Zip code,53014,FVDEYLCV,AUT2,2024-2025,8
Zip code,53014,FVDEYLCV,B,2024-2025,7
Zip code,53014,FVDEYLCV,ECO1,2024-2025,387
Zip code,53014,FVDEYLCV,EL1,2024-2025,109
Zip code,53014,FVDEYLCV,EMO1,2024-2025,32
Zip code,53014,FVDEYLCV,ENG3,2024-2025,939
Zip code,53014,FVDEYLCV,FEM3,2024-2025,504
Zip code,53014,FVDEYLCV,H,2024-2025,179
Zip code,53014,FVDEYLCV,INT7,2024-2025,10
Zip code,53014,FVDEYLCV,K41,2024-2025,43
Zip code,53014,FVDEYLCV,KIN2,2024-2025,52
Zip code,53014,FVDEYLCV,MAL15,2024-2025,533
Zip code,53014,FVDEYLCV,NOT2,2024-2025,862
Zip code,53014,FVDEYLCV,NOT3,2024-2025,661
Zip code,53014,FVDEYLCV,NOT4,2024-2025,1048
Zip code,53014,FVDEYLCV,OTH52,2024-2025,32
Zip code,53014,FVDEYLCV,Q,2024-2025,36
Zip code,53014,FVDEYLCV,SIG1,2024-2025,18
Zip code,53014,FVDEYLCV,SPE2,2024-2025,22
Zip code,53014,FVDEYLCV,SPE3,2024-2025,25
Zip code,53014,FVDEYLCV,SWD1,2024-2025,175
Zip code,53014,FVDEYLCV,SWO1,2024-2025,862
Zip code,53014,FVDEYLCV,UNK2,2024-2025,39
Zip code,53014,FVDEYLCV,UNK6,2024-2025,11
Zip code,53014,FVDEYLCV,UNK7,2024-2025,11
Zip code,53014,FVDEYLCV,W,2024-2025,825
Zip code,53014,FVDEYLCV,X1012,2024-2025,84
Zip code,53014,FVDEYLCV,X113,2024-2025,91
Zip code,53014,FVDEYLCV,X1210,2024-2025,106
Zip code,53014,FVDEYLCV,X1S2,2024-2025,50
Zip code,53014,FVDEYLCV,X2N2,2024-2025,74
Zip code,53014,FVDEYLCV,X3R2,2024-2025,88
Zip code,53014,FVDEYLCV,X4T2,2024-2025,72
Zip code,53014,FVDEYLCV,X5T3,2024-2025,61
Zip code,53014,FVDEYLCV,X6T3,2024-2025,69
Zip code,53014,FVDEYLCV,X7T2,2024-2025,85
Zip code,53014,FVDEYLCV,X8T2,2024-2025,67
Zip code,53014,FVDEYLCV,X9T3,2024-2025,106
Zip code,53061,FVDEYLCV,,2024-2025,994
Zip code,53061,FVDEYLCV,A,2024-2025,3
Zip code,53061,FVDEYLCV,B,2024-2025,13
Zip code,53061,FVDEYLCV,ECO1,2024-2025,286
Zip code,53061,FVDEYLCV,EL1,2024-2025,42
Zip code,53061,FVDEYLCV,EMO1,2024-2025,6
Zip code,53061,FVDEYLCV,ENG3,2024-2025,952
Zip code,53061,FVDEYLCV,FEM3,2024-2025,450
Zip code,53061,FVDEYLCV,H,2024-2025,85
Zip code,53061,FVDEYLCV,K41,2024-2025,60
Zip code,53061,FVDEYLCV,KIN2,2024-2025,58
Zip code,53061,FVDEYLCV,MAL15,2024-2025,531
Zip code,53061,FVDEYLCV,NOT2,2024-2025,823
Zip code,53061,FVDEYLCV,NOT3,2024-2025,708
Zip code,53061,FVDEYLCV,NOT4,2024-2025,994
Zip code,53061,FVDEYLCV,OTH52,2024-2025,31
Zip code,53061,FVDEYLCV,P,2024-2025,2
Zip code,53061,FVDEYLCV,PK1,2024-2025,5
Zip code,53061,FVDEYLCV,Q,2024-2025,20
Zip code,53061,FVDEYLCV,SIG1,2024-2025,14
Zip code,53061,FVDEYLCV,SPE2,2024-2025,34
Zip code,53061,FVDEYLCV,SPE3,2024-2025,43
Zip code,53061,FVDEYLCV,SWD1,2024-2025,158
Zip code,53061,FVDEYLCV,SWO1,2024-2025,823
Zip code,53061,FVDEYLCV,UNK2,2024-2025,43
Zip code,53061,FVDEYLCV,UNK6,2024-2025,13
Zip code,53061,FVDEYLCV,UNK7,2024-2025,13
Zip code,53061,FVDEYLCV,W,2024-2025,871
Zip code,53061,FVDEYLCV,X1012,2024-2025,83
